GO.Term.Accession,HGNC.symbol
GO:0030139,RAB5C
GO:0005811,RAB5C
GO:0006913,RAB5C
GO:0007032,RAB5C
GO:0005765,RAB5C
GO:0031901,RAB5C
GO:0042470,RAB5C
GO:0006886,RAB5C
GO:0007165,RAB5C
GO:0015031,RAB5C
GO:0003924,RAB5C
GO:0005622,RAB5C
GO:0005525,RAB5C
GO:0007264,RAB5C
GO:0016020,RAB5C
GO:0005737,RAB5C
GO:0005886,RAB5C
GO:0005634,RAB5C
,COPS2
GO:0050681,NRIP1
GO:0035259,NRIP1
GO:0019915,NRIP1
GO:0001543,NRIP1
GO:0000118,NRIP1
GO:0030521,NRIP1
GO:0035257,NRIP1
GO:0046965,NRIP1
GO:0003713,NRIP1
GO:0042826,NRIP1
GO:0030331,NRIP1
GO:0045893,NRIP1
GO:0045944,NRIP1
GO:0006351,NRIP1
GO:0005515,NRIP1
GO:0003714,NRIP1
GO:0000122,NRIP1
GO:0005634,NRIP1
GO:0006357,NRIP1
GO:0005102,NRIP1
GO:0042974,NRIP1
GO:0030728,NRIP1
GO:0005515,PECAM1
GO:0008274,TUBGCP5
GO:0007020,TUBGCP5
GO:0000226,TUBGCP5
GO:0000086,TUBGCP5
GO:0005815,TUBGCP5
GO:0000922,TUBGCP5
GO:0008017,TUBGCP5
GO:0005813,TUBGCP5
GO:0000278,TUBGCP5
GO:0005874,TUBGCP5
GO:0005829,TUBGCP5
,TUBGCP5
GO:0006874,RMDN3
GO:0000922,RMDN3
GO:0005741,RMDN3
GO:0005874,RMDN3
GO:0030154,RMDN3
GO:0006915,RMDN3
GO:0005739,RMDN3
GO:0005515,RMDN3
GO:0005634,RMDN3
GO:0016021,RMDN3
,RMDN3
GO:0042133,GCHFR
GO:0046209,GCHFR
GO:0044549,GCHFR
GO:0043105,GCHFR
GO:0030742,GCHFR
GO:0004857,GCHFR
GO:0009890,GCHFR
GO:0006809,GCHFR
GO:0050999,GCHFR
GO:0016597,GCHFR
GO:0051291,GCHFR
GO:0042470,GCHFR
GO:0030425,GCHFR
GO:0043234,GCHFR
GO:0031965,GCHFR
GO:0016787,GCHFR
GO:0044281,GCHFR
GO:0005829,GCHFR
GO:0005737,GCHFR
GO:0005515,GCHFR
GO:0005634,GCHFR
GO:0019899,GCHFR
GO:0006461,GCHFR
GO:0033004,MILR1
GO:0043303,MILR1
GO:0005887,MILR1
,MILR1
GO:0000262,POLG2
GO:0006261,POLG2
GO:0042645,POLG2
GO:0042802,POLG2
GO:0003887,POLG2
GO:0006260,POLG2
GO:0006281,POLG2
GO:0003697,POLG2
GO:0005739,POLG2
GO:0005515,POLG2
GO:0005739,FAM210A
GO:0016021,FAM210A
GO:0003676,DNAJC17
GO:0003723,DNAJC17
GO:0000166,DNAJC17
,FAM210A
,DNAJC17
GO:0071108,USP25
GO:0070536,USP25
GO:0004843,USP25
GO:0032183,USP25
GO:0008233,USP25
GO:0004221,USP25
GO:0006464,USP25
GO:0006511,USP25
GO:0005737,USP25
GO:0006508,USP25
GO:0005515,USP25
GO:0005634,USP25
GO:0060765,DDX5
GO:0036002,DDX5
GO:2001014,DDX5
GO:0071013,DDX5
GO:0072332,DDX5
GO:0045069,DDX5
GO:0004004,DDX5
GO:0016818,DDX5
GO:0033148,DDX5
GO:0045667,DDX5
GO:0050681,DDX5
GO:0043517,DDX5
GO:0007623,DDX5
GO:0003724,DDX5
GO:0003712,DDX5
GO:0003713,DDX5
GO:0004386,DDX5
GO:0016049,DDX5
GO:0005516,DDX5
GO:0030529,DDX5
GO:0000398,DDX5
GO:0001701,DDX5
GO:0000381,DDX5
GO:0048306,DDX5
GO:0030331,DDX5
GO:0019899,DDX5
GO:0008026,DDX5
GO:0005730,DDX5
GO:0045893,DDX5
GO:0003676,DDX5
GO:0005524,DDX5
GO:0045944,DDX5
GO:0006351,DDX5
GO:0005515,DDX5
GO:0000122,DDX5
GO:0005634,DDX5
,USP25
,DDX5
GO:0097503,ST8SIA5
GO:0006688,ST8SIA5
GO:0003828,ST8SIA5
